application-icon,title,filename,launchable-activity-icon,launchable-activity-label,launchable-activity-name,appId,package-platformBuildVersionName,package-versionCode,package-versionName,sha256sum
res/drawable-mdpi/ic_launcher.png,System Service,copy9.apk,,Copy9,com.ispyoo.android.activity.MainActivity,com.android.system,,1,1.0,12f34d14d25a3fe519621343588dbfd17cac7180b276e77aecfb46b4e2140eb8
res/drawable-mdpi-v4/app_icon.png,Wi-Fi Settings,spyhide.apk,,Wi-Fi Settings,com.android.system.EntranceActivity,com.wifiset.service,5.0.1-1624448,4,1.4,1d6d2394e3cbff757197f1826c86a12a348cdb877d144fe959745f9e0f451118
res/drawable-mdpi-v4/icon.png,Data Backup,spytomobile_data_backup_a935a48c43c6ccfe54dc11714baea24e.apk,,,,com.spy2mobile.light,5.0.1-1624448,58,4.13.1,4245113b735ed34c511f289e10e6e3e2d6009eb70de63bc4b141b1053c902794
,Sync Service,setup-3bwei.apk,res/drawable-mdpi-v4/ic_launcher.png,Hoverwatch,com.activities.ActivityMainStarter,com.android.core.monitor.debug,5.0.1-1624448,216,3.3.216,4496787c23f2a21a12875acee68b724768494f4f87a198a10c405769ee5ba2a8
res/drawable-mdpi/ic_launcher.png,System Service,mxspy8_11.apk,,MxSpy,com.ispyoo.android.activity.MainActivity,com.mxspy,,1,1.0,49000151dcf9cdbe51dd676a27fccde02509a6cf5d1802cc2e93d16c5827eccc
res/drawable-mdpi-v4/ic_launcher.png,Backup,mon12.0.1_SpyPhoneApp.apk,,,,com.spappm_mondow.alarm,5.0.1-1624448,5,12,50de99e6f06120c3edcc1cc3f8231f52bd69e908b15743ce5638e545f6e418bb
res/drawable-mdpi-v4/ic_launcher.png,SystemTask!,App_SpyToApp.apk,,SystemTask!,com.android.system.MainActivity,com.spytoapp.system,,9,9.3.3,77cee7c7c27f19137da5fbf949e6d9bc3acaa1fb462e6a69125da8934744e45d
res/drawable-mdpi/ic_launcher.png,System Service,GuestSpy_6.0.apk,,GuestSpy,com.ispyoo.android.activity.MainActivity,com.guest,,1,1.0,878780a68bc58b7a8469df4869089344c3e8f56db7089f60e2cc9c6cb63e917c
res/drawable-mdpi-v4/ic_launcher.png,System Services,1TopSpy.apk,,System Services,com.android.system.MainActivity,com.topspy.system,,10,10.6,8d7c87283256621dca3f48887f7a9068b6636124a552cff54924d96e7fbccff0
res/drawable-mdpi-v4/ic_launcher.png,UPreferences,imusic.apk,,UPreferences,com.android.preference.voice.MainActivity,com.android.preference.voice,,4,2.2,92a014a1b44263bbe5c53121916a98706879589e2f7065633be082a29f5e4d59
res/mipmap-mdpi-v4/ic_launcher.png,Secure Service,secureservice_spyhuman.apk,,,com.safesecureservice.first_activity,com.safesecureservice,,104,12.02,a06e4638fb7f08792733fab77d72cfebe06e2dc88edd4415be37a3b44db62852
res/drawable-xhdpi-v4/mslogo.png,Mobile Spy,MobileSPY_ms703.apk,,Monitoring,com.studio.sm.ui.SplashActivity,com.gpssettings.src.v65,6.0-2704002,13,7.0.3,ac4b7fd1cc994330134cb7081fb9e6058bbb70953e295eae92b4a33318444656
res/drawable-mdpi/ic_launcher.png,System Service,iSpyoo_8.10.apk,,iSpyoo,com.ispyoo.android.activity.MainActivity,com.ispyoo,,1,1.0,b96d4c161d465d8dd094c3753b37e041f5da9dd56c81be049d26105988719b87
res/drawable-mdpi-v4/ic_launcher.png,Update service,mSpy.apk,res/drawable-mdpi-v4/ic_mspy.png,mSpy,com.android.system.display2.spy.login_system.SplashActivity,sys.framework,5.1.1-1819727,541,5.0.3,bf7d01ba7a6550b193ad0eba1eeeb0d8a6bea5126fcd1ae2b137a93fdd87219a
res/drawable-mdpi-v4/ic_launcher.png,Backup,easyphonetrack_3.1.apk,,,,com.spappm_mondow.alarm,5.0.1-1624448,4,3.1,d4bdfdb1a2613b8185ffb6a54a8baed0ffd7bf4497de0c840926767259285e9c
res/drawable-mdpi-v4/ic_launcher.png,com.android.devicelogs,appmia.apk,,,com.android.system.devicelogs.ui.MainActivity,com.android.system.devicelogs,6.0-2438415,56,0.0.3,debe666f72a5b84c1e19c8c498e6636d9b26518fad609d040ca4a2d7c1ff9a46
res/drawable-hdpi-v4/ic_launcher.png,Internet Service,iKeyMonitor-Android.apk,,iKeyMonitor,com.as.monitoringapp.SplashScreen,com.sec.android.internet.service.ik,8.0.0,13,6.4,df7d6929fef7e05f04b38bd01b53b9f872a27e6bfb3a1fe3431f586c510d9555
res/drawable-mdpi-v4/ic_launcher.png,System Services,hellospyapp.apk,,System Services,com.android.system.MainActivity,com.hellospy.system,,8,8.6,e4e991488843dad10d87d240b9acff78a8373a5335d5959e8b1e06e2fdf491e1
res/mipmap-mdpi-v4/ic_launcher.png,System Update Service,install_spyzie.apk,res/drawable/ic_launcher.png,Spyzie,com.ws.sc.SplashAct,com.ws.sc,7.1.1,1,1.4.1.71,f1f617da385ecd97334c00d2dd1983c271c64a052183f4ef3b68be0652e6d835
