appId,store,flag,title
5ZPN38G6GE.com.trailbehind.GaiaGPS,appstore,dual-use,Gaia GPS Classic
Aktualizacja.apps,offstore,stalkerware,Spyone
Anon.Mobile.Tracker,appstore,dual-use,Anon Mobile Tracker
Com.letzwApp.ID,appstore,dual-use,LetzwApp - Phone Number Update
EZTracken.gpstrack.com,appstore,dual-use,EZ Tracking
Fi_Mobile.JSC,playstore,dual-use,JSC FCU Mobile
Friends.finder.com,appstore,dual-use,Find My Friends and Famili
GD.Loco,appstore,dual-use,Seeking My Family Friends Live
Ges-Work.SpeakApp-Messenger,appstore,dual-use,GPS Phone Tracker Find Friends
India.gpstrack.com,appstore,dual-use,Sequra tracker
Italy.gpstrack.com,appstore,dual-use,GPS Tracker Italy
JMLMD.BabyDo,appstore,dual-use,BabyDo - Track Your Child's Milestones
LEM.TrackMe,playstore,dual-use,TrackMe - GPS Tracker
LoveInventionStudio.WardenCam,appstore,dual-use,WardenCam Video Surveillance
Mg.FamilyLocator.PhoneTracker2,appstore,dual-use,Phone Tracker By Number
ParthPandya.DeviceTracker-LIVE,appstore,dual-use,Device Tracker - Phone Finder (LIVE)
ParthPandya.DeviceTracker-Offline,appstore,dual-use,Device Tracker - Mobile Finder
PeopleTracker,appstore,dual-use,People Tracker Pro - Cell phone tracker app!
PhilG.CUCMEFree,appstore,dual-use,Cucme Free
Suntechltd.Phuongnga.Bluetooth,appstore,dual-use,BT Notifier - Find My Tracker
UCprojects.UCtracker,playstore,dual-use,UC GPS tracker
YWZiZDFjZTg2NTZlOGI4NDkyYWJjZDJjZDE5ZTM0Mjk.MzkwMmNhZGFiZGZhMjMyZjQzNTJkYmQ1ODg1ZjI1NzA,playstore,stalkerware,Observer
a.tck.lvmchi,playstore,stalkerware,"MobileTrackerFree,MonitorLoverman,MTrack,CellTracker,TrackMobil"
a2ndappwhats.sdkw.com,playstore,dual-use,2nd Account for Whatsapp
aa.emtgs,playstore,dual-use,Friend Locator & GPS Tracker with Multiple Maps
abbanza.bixpe.dispositivos.android.localizacion,playstore,dual-use,GPS Tracking employees
abhi.ranjan.tracker,playstore,dual-use,Child Locator
abser.DondeEstamos,appstore,dual-use,Where Are We Track & Location
acr.call.recorder,playstore,dual-use,Call recorder
acremotecontroller.airconditionerremote.allacremote,playstore,dual-use,AC Remote Control For All AC
adhish.shikhar.tmd,playstore,dual-use,Track My Device
afs.hbmoczc,playstore,stalkerware,"MonitorChecker,AndrMonitor,AndroidMon,Dromon"
ag.inc.callrecord,playstore,dual-use,Free Call Recorder 2020
aglaia.soft.gpssmstextreply,playstore,dual-use,Family Phone Tracker Finder
ahapps.secretvideocamera,playstore,dual-use,spy video recording camera
ahapps.videospycamera,playstore,dual-use,spy secret video camera
ahmyth.mine.king.ahmyth,offstore,stalkerware,Ahmyth
ai.actionfigure.actionfigureandroidtv,playstore,dual-use,Actionfigure Screen
ai.familygo.ios.app,appstore,dual-use,FamilyGo: Track and Control
ai.myfamily.android,playstore,dual-use,FamilyGo: GPS locator
air.com.applauz.behave,playstore,dual-use,Behave
air.com.applauz.behavebuddy,playstore,dual-use,Behave Buddy
air.gear.gear360manager,playstore,dual-use,Gear 360 for All
air.icamspy,playstore,dual-use,Home Video Surveillance
aitech.whistlephonefinder.findphonebywhistle,playstore,dual-use,Whistle Phone Finder
ala.tn.my.up.dev,playstore,dual-use,Update To Android 7
alarm.silksuite.net.textalarm,playstore,dual-use,TXT 2 FIND: Locate your phone.
alerts.trackerplus.apps,appstore,dual-use,GPS Tracker Plus
allcallrecorder.allcallrecorder2017.allautomaticcallrecorderpro.allcallrecorderfree,playstore,dual-use,All Call Recorder Automatic 2017 PRO
allcallrecorder2017.allcallrecorder2018.allcallrecorderpro.allcallrecorderfree,playstore,dual-use,All Call Recorder 2018
and.GuardTrial,playstore,stalkerware,"MobiStealth,Stealthcell"
and.LocatorTrial,playstore,stalkerware,"MobiStealth,Stealthcell"
andr.asl.autocallrecorder,playstore,dual-use,Auto Call Recorder(New)
andro.locat.androlocat_server_free,playstore,dual-use,BOLAQ : Phone imei Locator
android.helper.system,playstore,stalkerware,"celSpy,eyeZy,mSpy,mSpyOnline,FakeSys"
android.sys.process,playstore,stalkerware,"celSpy,eyeZy,mSpy,mSpyOnline,FakeSys"
androidlab.allcall,playstore,dual-use,All Call Recorder
apk.keylogger,playstore,stalkerware,"AndroSpy,ASpy"
apk.kgl,playstore,stalkerware,"AndroSpy,ASpy"
apk.kwoapsnde,playstore,stalkerware,"AndroSpy,ASpy"
apk.screenshotrecorder,playstore,stalkerware,"AndroSpy,ASpy"
app.EasyLogger,playstore,stalkerware,EasyLogger
app.Easylogger,playstore,stalkerware,EasyLogger
app.Elogger,playstore,stalkerware,EasyLogger
app.Find24.com,appstore,dual-use,Find24 - Find Location
app.alpify,playstore,dual-use,Locator Safe365
app.automaticcallrecorder2017.callrecorderpro,playstore,dual-use,Automatic Call Recorder 2017
app.automaticcallrecorder2017.freeautocallrecorder2017,playstore,dual-use,Automatic Call Recorder 2017
app.callrecorder.app,playstore,dual-use,Call Recorder Blocker Free
app.callrecorder.call.recorde.pro,playstore,dual-use,Call Recorder
app.calltrack,playstore,dual-use,CallTrack
app.childsafetytracker,playstore,stalkerware,Child Safety & Tracker App
app.com.automobility.mycar.control2.ltx,playstore,dual-use,Linkr LTX
app.com.ravi.allcallrecorder,playstore,dual-use,Call Recorder
app.com.ravi.callrecorder,playstore,dual-use,Call recorder- with new function
app.contact.smsbackup,playstore,dual-use,Contact & SMS Backup
