,group,group_package,group_label,group_description,permission,package,label,description,protectionLevel
0,com.google.android.gms.permission.CAR_INFORMATION,com.google.android.gms,Car information,Access your car's information,com.google.android.gms.permission.CAR_VENDOR_EXTENSION,com.google.android.gms,car vendor channel,Access your car's vendor channel to exchange car-specific information,dangerous
1,com.google.android.gms.permission.CAR_INFORMATION,com.google.android.gms,Car information,Access your car's information,com.google.android.gms.permission.CAR_MILEAGE,com.google.android.gms,car mileage,Access your car's mileage information,dangerous
2,com.google.android.gms.permission.CAR_INFORMATION,com.google.android.gms,Car information,Access your car's information,com.google.android.gms.permission.CAR_FUEL,com.google.android.gms,car fuel level,Access your car's fuel level information,dangerous
3,android.permission-group.CONTACTS,android,Contacts,access your contacts,android.permission.WRITE_CONTACTS,android,modify your contacts,"Allows the app to modify the data about your contacts stored on your phone, including the frequency with which you've called, emailed, or communicated in other ways with specific contacts. This permission allows apps to delete contact data.",dangerous
4,android.permission-group.CONTACTS,android,Contacts,access your contacts,android.permission.GET_ACCOUNTS,android,find accounts on the device,Allows the app to get the list of accounts known by the phone. This may include any accounts created by applications you have installed.,dangerous
5,android.permission-group.CONTACTS,android,Contacts,access your contacts,android.permission.READ_CONTACTS,android,read your contacts,"Allows the app to read data about your contacts stored on your phone, including the frequency with which you've called, emailed, or communicated in other ways with specific individuals. This permission allows apps to save your contact data, and malicious apps may share contact data without your knowledge.",dangerous
6,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.ACCESS_UCE_OPTIONS_SERVICE,android,null,null,signature|privileged
7,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.ANSWER_PHONE_CALLS,android,answer phone calls,Allows the app to answer an incoming phone call.,dangerous|runtime
8,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.READ_PHONE_NUMBERS,android,read phone numbers,Allows the app to access the phone numbers of the device.,dangerous|instant
9,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.READ_PHONE_STATE,android,read phone status and identity,"Allows the app to access the phone features of the device. This permission allows the app to determine the phone number and device IDs, whether a call is active, and the remote number connected by a call.",dangerous
10,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.CALL_PHONE,android,directly call phone numbers,Allows the app to call phone numbers without your intervention. This may result in unexpected charges or calls. Note that this doesn't allow the app to call emergency numbers. Malicious apps may cost you money by making calls without your confirmation.,dangerous
11,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.ACCESS_UCE_PRESENCE_SERVICE,android,null,null,signature|privileged
12,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.ACCEPT_HANDOVER,android,null,Allows the app to continue a call which was started in another app.,dangerous
13,android.permission-group.PHONE,android,Phone,make and manage phone calls,android.permission.USE_SIP,android,make/receive SIP calls,Allows the app to make and receive SIP calls.,dangerous
14,android.permission-group.PHONE,android,Phone,make and manage phone calls,com.android.voicemail.permission.ADD_VOICEMAIL,android,add voicemail,Allows the app to add messages to your voicemail inbox.,dangerous
15,android.permission-group.CALENDAR,android,Calendar,access your calendar,android.permission.READ_CALENDAR,android,Read calendar events and details,This app can read all calendar events stored on your phone and share or save your calendar data.,dangerous
16,android.permission-group.CALENDAR,android,Calendar,access your calendar,android.permission.WRITE_CALENDAR,android,add or modify calendar events and send email to guests without owners' knowledge,"This app can add, remove, or change calendar events on your phone. This app can send messages that may appear to come from calendar owners, or change events without notifying their owners.",dangerous
17,android.permission-group.CALL_LOG,android,Call logs,read and write phone call log,android.permission.READ_CALL_LOG,android,read call log,This app can read your call history.,dangerous
18,android.permission-group.CALL_LOG,android,Call logs,read and write phone call log,android.permission.WRITE_CALL_LOG,android,write call log,"Allows the app to modify your phone's call log, including data about incoming and outgoing calls. Malicious apps may use this to erase or modify your call log.",dangerous
19,android.permission-group.CALL_LOG,android,Call logs,read and write phone call log,android.permission.PROCESS_OUTGOING_CALLS,android,reroute outgoing calls,Allows the app to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether.,dangerous
20,android.permission-group.CAMERA,android,Camera,take pictures and record video,android.permission.CAMERA,android,take pictures and videos,This app can take pictures and record videos using the camera at any time.,dangerous|instant
21,android.permission-group.SENSORS,android,Body Sensors,access sensor data about your vital signs,android.permission.BODY_SENSORS,android,access body sensors (like heart rate monitors),"Allows the app to access data from sensors that monitor your physical condition, such as your heart rate.",dangerous
22,android.permission-group.SENSORS,android,Body Sensors,access sensor data about your vital signs,android.permission.USE_FINGERPRINT,android,use fingerprint hardware,Allows the app to use fingerprint hardware for authentication,normal
23,android.permission-group.SENSORS,android,Body Sensors,access sensor data about your vital signs,android.permission.USE_BIOMETRIC,android,use biometric hardware,Allows the app to use biometric hardware for authentication,normal
24,android.permission-group.LOCATION,android,Location,access this device's location,android.permission.ACCESS_FINE_LOCATION,android,access precise location (GPS and network-based),This app can get your location based on GPS or network location sources such as cell towers and Wi-Fi networks. These location services must be turned on and available on your phone for the app to be able to use them. This may increase battery consumption.,dangerous|instant
